2022-08-02 10:20:58,095 {'Time': '2022-08-02T10:20:03.91254833Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '31.52.33.205', 'P_src': '80', 'P_dst': '58898', 'event': 'Dos'}
2022-08-02 10:21:01,333 {'Time': '2022-08-02T10:20:03.600518153Z', 'Protocol': 'TCP', 'Source': '70.146.129.238', 'Destination': '192.168.137.247', 'P_src': '35599', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:04,385 {'Time': '2022-08-02T10:20:04.100244120Z', 'Protocol': 'TCP', 'Source': '226.160.103.208', 'Destination': '192.168.137.247', 'P_src': '45985', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:04,386 {'Time': '2022-08-02T10:20:04.100244306Z', 'Protocol': 'TCP', 'Source': '44.162.209.50', 'Destination': '192.168.137.247', 'P_src': '45986', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:04,388 {'Time': '2022-08-02T10:20:04.100264354Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '44.162.209.50', 'P_src': '80', 'P_dst': '45986', 'event': 'Dos'}
2022-08-02 10:21:04,390 {'Time': '2022-08-02T10:20:04.100244347Z', 'Protocol': 'TCP', 'Source': '204.242.211.198', 'Destination': '192.168.137.247', 'P_src': '45987', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:04,391 {'Time': '2022-08-02T10:20:04.100284524Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '204.242.211.198', 'P_src': '80', 'P_dst': '45987', 'event': 'Dos'}
2022-08-02 10:21:04,392 {'Time': '2022-08-02T10:20:04.100244394Z', 'Protocol': 'TCP', 'Source': '157.239.74.252', 'Destination': '192.168.137.247', 'P_src': '45988', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:06,778 {'Time': '2022-08-02T10:20:04.709293742Z', 'Protocol': 'TCP', 'Source': '171.180.131.90', 'Destination': '192.168.137.247', 'P_src': '52400', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:08,821 {'Time': '2022-08-02T10:20:05.84891559Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '142.250.184.35', 'P_src': '32772', 'P_dst': '443', 'event': 'Dos'}
2022-08-02 10:21:08,822 {'Time': '2022-08-02T10:20:05.135159400Z', 'Protocol': 'TCP', 'Source': '77.71.206.148', 'Destination': '192.168.137.247', 'P_src': '55918', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:08,823 {'Time': '2022-08-02T10:20:05.135180879Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '77.71.206.148', 'P_src': '80', 'P_dst': '55918', 'event': 'Dos'}
2022-08-02 10:21:08,824 {'Time': '2022-08-02T10:20:05.135159558Z', 'Protocol': 'TCP', 'Source': '226.130.157.200', 'Destination': '192.168.137.247', 'P_src': '55919', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:09,996 {'Time': '2022-08-02T10:20:05.623819391Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '35.166.155.91', 'P_src': '40584', 'P_dst': '443', 'event': 'Dos'}
2022-08-02 10:21:09,998 {'Time': '2022-08-02T10:20:05.641154496Z', 'Protocol': 'TCP', 'Source': '232.153.151.70', 'Destination': '192.168.137.247', 'P_src': '57650', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:09,998 {'Time': '2022-08-02T10:20:05.641154620Z', 'Protocol': 'TCP', 'Source': '54.217.244.65', 'Destination': '192.168.137.247', 'P_src': '57651', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:11,792 {'Time': '2022-08-02T10:20:06.87216671Z', 'Protocol': 'TCP', 'Source': '118.83.131.39', 'Destination': '192.168.137.247', 'P_src': '60412', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:13,296 {'Time': '2022-08-02T10:20:06.586723330Z', 'Protocol': 'TCP', 'Source': '132.196.244.160', 'Destination': '192.168.137.247', 'P_src': '63168', 'P_dst': '80', 'event': 'Dos'}
